id,nombre,apellido,genero,pais_cd,ranking_pts,categoria
101,Carlos,Rodriguez,M,MEX,1500,MS
102,Miguel,Hernandez,M,MEX,1450,MS
103,Luis,Martinez,M,COL,1400,MS
104,Jorge,Garcia,M,ARG,1380,MS
105,Pedro,Sanchez,M,ESP,1350,MS
106,Andres,Lopez,M,CHI,1320,MS
107,Fernando,Gonzalez,M,PER,1300,MS
108,Ricardo,Diaz,M,VEN,1280,MS
109,Diego,Torres,M,ECU,1250,MS
110,Pablo,Ramirez,M,URU,1220,MS
111,Sebastian,Morales,M,BOL,0,MS
112,Alejandro,Castro,M,PAR,0,MS
113,Daniel,Vargas,M,CRC,0,MS
114,Gabriel,Mendoza,M,PAN,0,MS
115,Rafael,Flores,M,DOM,0,MS
116,Manuel,Reyes,M,CUB,0,MS
117,Javier,Ortiz,M,GUA,0,MS
118,Oscar,Ruiz,M,HON,0,MS
119,Eduardo,Jimenez,M,NIC,0,MS
120,Sergio,Romero,M,SLV,0,MS
