id,nombre,apellido,genero,pais_cd,ranking_pts,categoria
1,Juan,Perez,M,ESP,1500,MD
2,Pedro,Lopez,M,ESP,1400,MD
3,Carlos,Rodriguez,M,MEX,1350,MD
4,Miguel,Sanchez,M,MEX,1300,MD
5,David,Ramirez,M,ARG,1250,MD
6,Luis,Morales,M,ARG,1200,MD
7,Pablo,Torres,M,COL,1100,MD
8,Diego,Silva,M,COL,1050,MD
9,Andres,Martinez,M,BRA,1000,MD
10,Roberto,Gomez,M,BRA,950,MD
11,Fernando,Diaz,M,CHI,900,MD
12,Ricardo,Herrera,M,CHI,850,MD
13,Sergio,Castro,M,PER,800,MD
14,Manuel,Vega,M,PER,750,MD
15,Raul,Flores,M,CUB,700,MD
16,Oscar,Rios,M,CUB,650,MD
