id,nombre,apellido,genero,pais_cd,ranking_pts,categoria
1,Andres,Aguirre,M,URU,2500,MS
2,Bruno,Blanco,M,ARG,2480,MS
3,Carlos,Cardozo,M,BRA,2460,MS
4,Diego,Dominguez,M,CHI,2440,MS
5,Eduardo,Echeverria,M,PAR,2420,MS
6,Federico,Fernandez,M,URU,2400,MS
7,Gustavo,Gomez,M,ARG,2380,MS
8,Hugo,Hernandez,M,COL,2360,MS
9,Ignacio,Iturbe,M,PER,2340,MS
10,Jorge,Jara,M,ECU,2320,MS
11,Kevin,Klein,M,VEN,2300,MS
12,Luis,Lozano,M,BOL,2280,MS
13,Marcos,Molina,M,URU,2260,MS
14,Nicolas,Nunez,M,ARG,2240,MS
15,Oscar,Ortega,M,BRA,2220,MS
16,Pablo,Perez,M,CHI,2200,MS
17,Quique,Quintana,M,PAR,2180,MS
18,Roberto,Romero,M,COL,2160,MS
19,Santiago,Sanchez,M,PER,2140,MS
20,Tomas,Torres,M,ECU,2120,MS
21,Ulises,Urrutia,M,VEN,2100,MS
22,Valentin,Vega,M,BOL,2080,MS
23,William,Wagner,M,URU,2060,MS
24,Xavier,Ximenes,M,ARG,2040,MS
25,Yuri,Yanez,M,BRA,2020,MS
26,Zacarias,Zamora,M,CHI,2000,MS
27,Alberto,Arce,M,PAR,1980,MS
28,Bernardo,Bustamante,M,COL,1960,MS
29,Claudio,Contreras,M,PER,0,MS
30,Damian,Diaz,M,ECU,0,MS
31,Enrique,Esparza,M,VEN,0,MS
32,Fabian,Flores,M,BOL,0,MS
33,German,Gallardo,M,URU,0,MS
34,Horacio,Huerta,M,ARG,0,MS
35,Ivan,Iglesias,M,BRA,0,MS
36,Julian,Juarez,M,CHI,0,MS
37,Leandro,Lagos,M,PAR,0,MS
38,Mauricio,Martinez,M,COL,0,MS
39,Nestor,Navarro,M,PER,0,MS
40,Octavio,Ojeda,M,ECU,0,MS
41,Patricio,Ponce,M,VEN,0,MS
42,Ramon,Rios,M,BOL,0,MS
43,Sergio,Suarez,M,URU,0,MS
44,Tadeo,Tejada,M,ARG,0,MS
45,Ubaldo,Uribe,M,BRA,0,MS
46,Vasco,Villanueva,M,CHI,0,MS
47,Waldo,Winkler,M,PAR,0,MS
48,Ximeno,Xara,M,COL,0,MS
49,Yamil,Yegros,M,PER,0,MS
50,Zoilo,Zenteno,M,ECU,0,MS
51,Adolfo,Acevedo,M,VEN,0,MS
52,Braulio,Barrios,M,BOL,0,MS
53,Camilo,Cespedes,M,URU,0,MS
54,Dionisio,Duran,M,ARG,0,MS
55,Elias,Elizondo,M,BRA,0,MS
