id,nombre,apellido,genero,pais_cd,ranking_pts,categoria
1,Lucas,Martinez,M,URU,1250,U13BS
2,Santiago,Rodriguez,M,ARG,1180,U13BS
3,Mateo,Gonzalez,M,BRA,1150,U13BS
4,Sebastian,Lopez,M,CHI,1120,U13BS
5,Nicolas,Fernandez,M,PAR,1100,U13BS
6,Diego,Silva,M,URU,1080,U13BS
7,Alejandro,Torres,M,ARG,1050,U13BS
8,Daniel,Ramirez,M,COL,1020,U13BS
9,Gabriel,Herrera,M,PER,990,U13BS
10,Andres,Castro,M,ECU,0,U13BS
11,Felipe,Morales,M,VEN,0,U13BS
12,Joaquin,Vargas,M,BOL,0,U13BS
13,Martin,Reyes,M,URU,0,U13BS
14,Pablo,Ortiz,M,ARG,0,U13BS
15,Bruno,Mendez,M,BRA,0,U13BS
16,Tomas,Paredes,M,CHI,0,U13BS
17,Adrian,Rios,M,PAR,0,U13BS
18,Ivan,Gutierrez,M,COL,0,U13BS
19,Carlos,Rojas,M,PER,0,U13BS
