id,nombre,apellido,genero,pais_cd,ranking_pts,categoria
101,Lucas,Martinez,M,ARG,2500,SUB21
102,Diego,Rodriguez,M,CHI,2400,SUB21
103,Mateo,Gonzalez,M,COL,2350,SUB21
104,Sebastian,Lopez,M,PER,2300,SUB21
105,Nicolas,Fernandez,M,ECU,2250,SUB21
106,Alejandro,Garcia,M,VEN,2200,SUB21
107,Daniel,Sanchez,M,BOL,2150,SUB21
108,Andres,Ramirez,M,PAR,2100,SUB21
109,Felipe,Torres,M,URU,2050,SUB21
110,Gabriel,Herrera,M,BRA,2000,SUB21
111,Pablo,Castro,M,ARG,1950,SUB21
112,Martin,Morales,M,CHI,1900,SUB21
113,Eduardo,Vargas,M,COL,1850,SUB21
114,Ricardo,Mendez,M,PER,1800,SUB21
115,Fernando,Silva,M,ECU,1750,SUB21
116,Joaquin,Rojas,M,VEN,1700,SUB21
117,Emiliano,Ortiz,M,BOL,1650,SUB21
118,Tomas,Navarro,M,PAR,1600,SUB21
119,Ivan,Guerrero,M,URU,1550,SUB21
120,Carlos,Jimenez,M,BRA,1500,SUB21
121,Oscar,Delgado,M,ARG,1450,SUB21
